----------------------------------------------------------------
[RUNNING] Scenario: semi
          Run Name: semi_20251208_165803
          Start   : 20251208_165803
----------------------------------------------------------------
2025-12-08 16:58:05,812 - INFO - Args: {'scenario': 'semi', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 65536, 'events_per_image': 4096, 'run_name': 'semi_20251208_165803', 'log_interval': 125, 'num_epochs': 30, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 80, 'T_sup': 100, 'spike_array_len': 20, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 300, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 4096, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803'}
2025-12-08 16:58:05,813 - INFO - Starting scenario: semi
2025-12-08 16:58:05,813 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 16:58:05,813 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 16:58:37,075 - INFO - Epoch 1 | Batch 125/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 16:59:04,805 - INFO - Epoch 1 | Batch 250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 16:59:32,890 - INFO - Epoch 1 | Batch 375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:00:00,490 - INFO - Epoch 1 | Batch 500/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:00:28,665 - INFO - Epoch 1 | Batch 625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:00:56,702 - INFO - Epoch 1 | Batch 750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:01:24,974 - INFO - Epoch 1 | Batch 875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:01:53,116 - INFO - Epoch 1 | Batch 1000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:02:21,076 - INFO - Epoch 1 | Batch 1125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:02:49,456 - INFO - Epoch 1 | Batch 1250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:03:17,897 - INFO - Epoch 1 | Batch 1375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:03:45,837 - INFO - Epoch 1 | Batch 1500/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:04:13,819 - INFO - Epoch 1 | Batch 1625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:04:42,022 - INFO - Epoch 1 | Batch 1750/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:05:10,149 - INFO - Epoch 1 | Batch 1875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:05:38,049 - INFO - Epoch 1 | Batch 2000/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:06:06,067 - INFO - Epoch 1 | Batch 2125/3375 | Acc 0.0000 | Reward -1.0000
