epoch	acc	reward	align	active_ratio
1	0.097667	-0.000002	-0.000002	0.016021
2	0.097667	-0.000001	-0.000001	0.016020
3	0.097667	-0.000001	-0.000001	0.016021
4	0.097667	-0.000001	-0.000001	0.016020
5	0.097667	-0.000001	-0.000001	0.016020
6	0.097667	-0.000001	-0.000001	0.016021
7	0.097667	-0.000001	-0.000001	0.016021
8	0.097667	-0.000001	-0.000001	0.016020
9	0.097667	-0.000001	-0.000001	0.016021
10	0.097667	-0.000001	-0.000001	0.016020
11	0.097667	-0.000001	-0.000001	0.016021
12	0.097667	-0.000001	-0.000001	0.016020
13	0.097667	-0.000001	-0.000001	0.016020
14	0.097667	-0.000001	-0.000001	0.016020
15	0.097667	-0.000001	-0.000001	0.016021
16	0.097667	-0.000001	-0.000001	0.016020
17	0.097667	-0.000001	-0.000001	0.016020
18	0.097667	-0.000001	-0.000001	0.016020
19	0.097667	-0.000001	-0.000001	0.016020
20	0.097667	-0.000001	-0.000001	0.016021
21	0.097667	-0.000001	-0.000001	0.016020
22	0.097667	-0.000001	-0.000001	0.016021
23	0.097667	-0.000001	-0.000001	0.016020
24	0.097667	-0.000001	-0.000001	0.016020
25	0.097667	-0.000001	-0.000001	0.016020
26	0.097667	-0.000001	-0.000001	0.016021
27	0.097667	-0.000001	-0.000001	0.016020
28	0.097667	-0.000001	-0.000001	0.016020
29	0.097667	-0.000001	-0.000001	0.016020
30	0.097667	-0.000001	-0.000001	0.016021
