epoch	acc	reward	align	active_ratio
1	0.097667	-0.000002	-0.000002	0.004122
2	0.097667	-0.000001	-0.000001	0.004121
3	0.097667	-0.000001	-0.000001	0.004121
4	0.097667	-0.000001	-0.000001	0.004121
5	0.097667	-0.000001	-0.000001	0.004121
6	0.097667	-0.000001	-0.000001	0.004121
7	0.097667	-0.000001	-0.000001	0.004121
8	0.097667	-0.000001	-0.000001	0.004121
9	0.097667	-0.000001	-0.000001	0.004121
10	0.097667	-0.000001	-0.000001	0.004121
11	0.097667	-0.000001	-0.000001	0.004121
12	0.097667	-0.000001	-0.000001	0.004121
13	0.097667	-0.000001	-0.000001	0.004121
14	0.097667	-0.000001	-0.000001	0.004121
15	0.097667	-0.000001	-0.000001	0.004121
