epoch	acc	margin	reward
1	0.097593	-0.000001	-0.804816
2	0.097667	0.000000	-0.804667
3	0.097667	0.000000	-0.804667
4	0.097667	0.000000	-0.804667
5	0.097667	0.000000	-0.804667
6	0.097667	0.000000	-0.804667
7	0.097667	0.000000	-0.804667
8	0.097667	0.000000	-0.804667
9	0.097667	0.000000	-0.804667
10	0.097667	0.000000	-0.804667
11	0.097667	0.000000	-0.804667
12	0.097667	0.000000	-0.804667
13	0.097667	0.000000	-0.804667
14	0.097667	0.000000	-0.804667
15	0.097667	0.000000	-0.804667
16	0.097667	0.000000	-0.804667
17	0.097667	0.000000	-0.804667
18	0.097667	0.000000	-0.804667
19	0.097667	0.000000	-0.804667
20	0.097667	0.000000	-0.804667
21	0.097667	0.000000	-0.804667
22	0.097667	0.000000	-0.804667
23	0.097667	0.000000	-0.804667
24	0.097667	0.000000	-0.804667
25	0.097667	0.000000	-0.804667
26	0.097667	0.000000	-0.804667
27	0.097667	0.000000	-0.804667
28	0.097667	0.000000	-0.804667
29	0.097667	0.000000	-0.804667
30	0.097667	0.000000	-0.804667
