2025-12-09 15:44:58,934 - INFO - Args: {'scenario': 'semi', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 16284, 'events_per_image': 1024, 'run_name': 'semi_20251209_154456', 'log_interval': 125, 'num_epochs': 15, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 80, 'T_sup': 100, 'spike_array_len': 20, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 300, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 1024, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456'}
2025-12-09 15:44:58,934 - INFO - Starting scenario: semi
2025-12-09 15:44:58,934 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456
2025-12-09 15:44:58,934 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251209_154456
2025-12-09 15:45:48,211 - INFO - Epoch 1 | Batch 125/3375 | Acc 0.1875 | Reward -0.6250
2025-12-09 15:46:22,001 - INFO - Epoch 1 | Batch 250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:46:54,019 - INFO - Epoch 1 | Batch 375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:47:25,950 - INFO - Epoch 1 | Batch 500/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 15:47:57,842 - INFO - Epoch 1 | Batch 625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:48:29,742 - INFO - Epoch 1 | Batch 750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:49:01,822 - INFO - Epoch 1 | Batch 875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:49:33,982 - INFO - Epoch 1 | Batch 1000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:50:06,075 - INFO - Epoch 1 | Batch 1125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:50:38,295 - INFO - Epoch 1 | Batch 1250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:51:24,986 - INFO - Epoch 1 | Batch 1375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-09 15:52:29,355 - INFO - Epoch 1 | Batch 1500/3375 | Acc 0.0625 | Reward -0.8902
2025-12-09 15:53:38,747 - INFO - Epoch 1 | Batch 1625/3375 | Acc 0.0625 | Reward -0.8785
2025-12-09 15:54:48,517 - INFO - Epoch 1 | Batch 1750/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 15:55:59,741 - INFO - Epoch 1 | Batch 1875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-09 15:57:11,449 - INFO - Epoch 1 | Batch 2000/3375 | Acc 0.0000 | Reward -1.0023
2025-12-09 15:58:24,191 - INFO - Epoch 1 | Batch 2125/3375 | Acc 0.0000 | Reward -1.0004
