epoch	R_sparse	R_div	R_stab	R_total
1	-0.061981	-0.719067	0.000000	-0.312419
2	-0.062500	-0.932487	0.906704	-0.216654
3	-0.054668	-0.924303	0.635296	-0.264529
4	-0.054912	-0.801317	0.111000	-0.320291
5	-0.034426	-0.610450	-0.793333	-0.416618
6	-0.051237	-0.478144	-0.517963	-0.315345
7	-0.062500	-0.512562	0.094148	-0.211196
8	-0.062500	-0.562740	1.000000	-0.050096
9	-0.062500	-0.604091	1.000000	-0.066636
10	-0.062500	-0.638551	1.000000	-0.080421
11	-0.062500	-0.667625	1.000000	-0.092049
12	-0.062500	-0.692424	1.000000	-0.101972
